"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct","prim_enr","sec_enr","ter_enr","prim_compl","educ_exp","mobile","broadband","fixedline","agri_va","ind_va","manuf_va","serv_va","exports","imports","trade","capform","cons_hh","cons_gov","tax_rev","inflation","gni_pc","gdp_growth","pop0014","pop1564","dep_ratio","dep_old","dep_young","pop_tot","pop_grow","death_rate","birth_rate","net_migr","rural_pct","urb_grow","lgst_city","land_area","pop_dens","agri_land","arable","forest","air_pax","air_dep","credit_priv","fdi"
"AFG","Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Low income",65.617,51.6,4.932,2.355,25.394,357.261,23.088,15.866,NA,NA,NA,NA,NA,56.266,0.08,0.4,33.701,16.05,10.19,45.05,18.38,54.505,72.885,16.7,97.611,21.845,NA,13.712,370,-6.24,43.58,54.065,84.962,4.356,80.606,40578842,1.436,5.993,36.045,-647402,74.606,1.617,43.261,652230,62.216,58.742,11.974,1.853,1157419,7730,NA,NA
"ALB","Albania","Europe & Central Asia","Upper middle income",78.769,8.3,1.355,15.776,57.864,7756.962,7.536,82.614,96.371,97.322,62.648,101.176,2.73,98.395,20.699,6.268,16.984,23.025,7.505,46.299,37.197,47.501,84.698,26.802,71.357,12.144,18.061,6.725,7720,4.827,17.222,67.001,49.251,23.546,25.705,2451636,-1.543,8.709,10.305,-16426,42.136,-0.925,36.06,27400,89.476,41.445,21.828,28.792,332534,2893,33.791,7.579
"DZA","Algeria","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",76.129,20,2.817,6.187,74.18,4960.303,3.635,74.782,105.747,104.55,53.388,93.929,4.749,107.787,10.352,12.261,10.647,43.052,10.217,42.746,30.792,20.399,51.19,35.098,37.969,16.54,NA,9.266,4430,3.6,30.841,62.972,58.801,9.825,48.976,45477389,1.588,4.602,20.491,-14684,25.82,2.345,8.46,2381740,19.094,17.351,3.162,0.826,4621351,47530.666,18.24,0.107
"AND","Andorra","Europe & Central Asia","High income",84.016,2.6,1.071,14.969,88.755,42414.059,7.521,94.052,90.466,98.51,34.641,NA,2.647,142.426,51.205,63.824,0.487,11.145,3.576,78.192,NA,NA,NA,NA,NA,NA,13.62,NA,47600,9.565,12.656,72.375,38.169,20.683,17.486,79705,1.697,5.948,6.85,1102,11.245,1.8,NA,470,169.585,39.907,1.591,34.043,NA,NA,NA,17.57
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",64.246,33.7,5.209,2.773,69.051,3598.537,2.6,35.838,NA,NA,NA,NA,2.385,66.601,0.387,0.264,19.43,35.947,6.716,44.481,36.013,20.525,56.538,14.506,52.641,17.364,13.028,21.355,2290,3.557,44.758,52.469,90.59,5.286,85.304,35635029,3.143,7.097,38.102,-995,30.949,4.306,36.383,1246700,28.583,36.947,4.319,52.536,895730,10061,7.025,-5.146
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",77.483,7.4,1.58,10.729,24.511,20003.391,4.431,71.923,121.563,107.8,NA,123.355,2.504,200.541,10.682,29.427,1.966,19.758,2.704,68.247,55.002,63.3,118.303,NA,NA,NA,NA,7.531,18730,8.498,18.573,70.698,41.448,15.176,26.272,92840,0.53,6.771,12.001,0,75.489,0.268,NA,440,211,20.455,9.091,18.162,35515.2,1057,38.364,16.467
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",75.806,8.4,1.482,12.034,92.113,13962.189,10.16,88.375,106.76,114.148,107.104,100.31,4.793,131.484,24.683,15.506,6.542,24.112,16.417,53.534,16.282,15.299,31.58,17.386,65.929,15.703,11.065,72.431,11890,6.021,22.751,65.215,53.339,18.453,34.886,45407904,0.211,8.797,10.926,5589,7.887,0.302,36.747,2736690,16.592,43.428,15.749,10.361,16302525,121417,12.889,2.398
"ARM","Armenia","Europe & Central Asia","Upper middle income",74.766,9.3,1.7,12.915,65.562,6571.974,9.962,77.028,96.945,91.711,57.182,93.825,2.492,130.54,17.73,12.692,10.147,25.437,11.432,55.616,51.571,52.308,103.879,22.255,66.805,11.676,21.827,8.641,5690,12.6,19.863,67.222,48.76,19.213,29.548,2969200,0.233,9,12.3,38001,34.438,0.546,56.097,28198.32,105.297,58.613,15.701,11.634,268520,2982,52.554,5
"AUS","Australia","East Asia & Pacific","High income",83.2,3.2,1.63,17.075,87.334,65169.519,9.892,96.119,99.133,133.277,106.241,NA,5.059,109.469,36.393,24.462,2.672,27.402,5.289,63.363,25.462,20.233,45.695,23.7,49.054,22.018,23.561,6.594,60790,4.253,18.236,64.689,54.585,26.395,28.189,26018721,1.289,7.3,11.6,140972,12.666,1.403,22.667,7692020,3.383,47.259,4.065,17.421,55739422.457,548583,133.644,4.052
"AUT","Austria","Europe & Central Asia","High income",81.295,2.8,1.41,19.79,68.998,52336.773,11.225,93.614,100.776,101.458,94.512,97.159,5.277,121.166,29.234,40.576,1.346,25.844,16.652,62.436,61.427,62.152,123.58,29.237,50.951,20.536,26.126,8.547,56310,5.331,14.346,65.864,51.828,30.046,21.781,9041851,0.956,10.3,9.1,157365,31.002,1.282,31.417,82520,109.572,31.477,16.003,47.206,40099423,293077,89.184,3.022
