"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct"
"AFG","Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Low income",65.617,51.6,4.932,2.355,25.394,357.261,23.088,15.866
"ALB","Albania","Europe & Central Asia","Upper middle income",78.769,8.3,1.355,15.776,57.864,7756.962,7.536,82.614
"DZA","Algeria","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",76.129,20,2.817,6.187,74.18,4960.303,3.635,74.782
"AND","Andorra","Europe & Central Asia","High income",84.016,2.6,1.071,14.969,88.755,42414.059,7.521,94.052
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",64.246,33.7,5.209,2.773,69.051,3598.537,2.6,35.838
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",77.483,7.4,1.58,10.729,24.511,20003.391,4.431,71.923
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",75.806,8.4,1.482,12.034,92.113,13962.189,10.16,88.375
"ARM","Armenia","Europe & Central Asia","Upper middle income",74.766,9.3,1.7,12.915,65.562,6571.974,9.962,77.028
"AUS","Australia","East Asia & Pacific","High income",83.2,3.2,1.63,17.075,87.334,65169.519,9.892,96.119
"AUT","Austria","Europe & Central Asia","High income",81.295,2.8,1.41,19.79,68.998,52336.773,11.225,93.614
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",74.125,13.9,1.67,7.527,58.438,7770.594,3.415,88
"BHS","Bahamas, The","Latin America & Caribbean ","High income",74.491,11.6,1.379,11.252,81.32,34957.161,7.043,92.256
"BHR","Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",80.992,7,1.839,3.499,100,30470.522,3.891,100
"BGD","Bangladesh","South Asia","Lower middle income",74.265,24.4,2.179,6.135,31.674,2716.486,2.215,41.617
"BRB","Barbados","Latin America & Caribbean ","High income",75.676,9.6,1.712,15.699,59.354,24393.219,5.874,69.064
"BLR","Belarus","Europe & Central Asia","Upper middle income",74.103,2,1.326,16.507,78.473,7994.648,6.578,89.507
"BEL","Belgium","Europe & Central Asia","High income",81.749,3.2,1.53,19.767,87.489,50639.026,10.74,94.008
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",72.19,10.9,1.949,4.708,42.137,7068.217,4.216,69.983
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",60.475,47.8,4.634,3.063,50.963,1266.427,2.982,30.537
"BTN","Bhutan","South Asia","Lower middle income",72.754,15.1,1.478,6.246,40.937,3711.328,3.918,88.356
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",67.434,15.6,2.584,5.479,70.635,4219.461,7.159,72.623
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",76.777,5.5,1.481,21.103,51.022,7655.594,8.716,78.846
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",68.749,34.3,2.785,3.88,66.589,8328.709,5.737,57.9
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",74.872,12.6,1.629,10.252,87.35,9281.333,9.387,80.528
"BRN","Brunei Darussalam","East Asia & Pacific","High income",72.917,8.7,1.764,6.202,74.777,36632.928,1.77,98.97
"BGR","Bulgaria","Europe & Central Asia","High income",74.161,5,1.78,21.697,73.48,13999.911,7.638,79.127
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",60.7,46.1,4.275,2.595,27.279,827.331,7.414,25.399
"BDI","Burundi","Sub-Saharan Africa ","Low income",62.882,32.4,4.98,2.486,22.32,301.832,8.669,7.145
"CPV","Cabo Verde","Sub-Saharan Africa ","Upper middle income",75.907,11.5,1.533,6.329,75.034,4323.314,6.702,73.327
"KHM","Cambodia","East Asia & Pacific","Lower middle income",70.528,17.7,2.616,5.767,40.375,2325.031,4.469,65.491
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",62.443,42.7,4.397,2.763,54.846,1604.877,4.494,40.126
"CAN","Canada","North America","High income",81.095,4.6,1.34,18.941,82.35,56496.928,11.081,94
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",18.818,206.8,6.023,2.144,43.275,467.36,9.95,13.754
"TCD","Chad","Sub-Saharan Africa ","Low income",54.528,59.6,6.215,2.056,25.764,966.036,4.158,11.17
"CHL","Chile","Latin America & Caribbean ","High income",79.176,5.9,1.255,13.3,88.64,15399.104,10.005,92.318
"CHN","China","East Asia & Pacific","Upper middle income",78.202,4.8,1.034,13.782,65.218,12970.606,5.881,75.611
"COL","Colombia","Latin America & Caribbean ","Upper middle income",76.508,11.2,1.663,9.007,78.046,6680.445,7.59,72.796
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",66.481,37,3.935,4.455,32.775,1533.878,8.471,31.374
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",60.979,57.6,6.106,3.066,44.003,687.739,3.942,17.996
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",65,28.5,4.215,2.85,63.642,2620.838,2.3,40.987
"CRI","Costa Rica","Latin America & Caribbean ","High income",79.316,8.6,1.335,11.262,78.441,13971.765,7.184,82.598
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",61.562,47.4,4.349,2.533,52.849,2333.371,3.638,38.413
"HRV","Croatia","Europe & Central Asia","High income",77.576,3.9,1.53,22.485,56.998,18465.531,7.296,82.072
"CYP","Cyprus","Europe & Central Asia","High income",80.434,3.4,1.393,14.078,66.669,33231.051,8.272,89.601
"CZE","Czechia","Europe & Central Asia","High income",78.929,2.2,1.64,20.518,72.697,28282.224,8.471,84.54
"DNK","Denmark","Europe & Central Asia","High income",81.305,3.3,1.55,20.401,88.388,67781.094,9.474,97.86
"DJI","Djibouti","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",65.54,45.8,2.653,4.627,72.611,3133.258,2.526,63.776
"DMA","Dominica","Latin America & Caribbean ","Upper middle income",71.081,32.7,1.482,12.586,72.683,9323.661,5.973,80.58
"DOM","Dominican Republic","Latin America & Caribbean ","Upper middle income",74.211,29.1,2.267,7.287,72.42,10104.246,4.645,81.513
"ECU","Ecuador","Latin America & Caribbean ","Upper middle income",76.577,11.2,1.861,7.85,63.09,6515.585,7.602,69.718
"EGY","Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",71.01,21.8,2.75,4.828,42.633,4233.308,4.724,72.198
"SLV","El Salvador","Latin America & Caribbean ","Upper middle income",71.969,9.5,1.785,7.862,74.147,5074.601,9.82,60.056
"GNQ","Equatorial Guinea","Sub-Saharan Africa ","Upper middle income",63.355,50.7,4.17,3.568,70.891,7589.3,2.837,63.66
"EST","Estonia","Europe & Central Asia","High income",77.844,1.7,1.41,20.63,70.489,28340.383,6.936,91.52
"SWZ","Eswatini","Sub-Saharan Africa ","Lower middle income",63.028,45.9,2.801,4.015,25.397,3894.162,7.245,57.344
"ETH","Ethiopia","Sub-Saharan Africa ","Low income",66.897,48.3,4.082,3.124,22.737,982.103,2.853,17.984
"FJI","Fiji","East Asia & Pacific","Upper middle income",67.148,23.2,2.305,6.209,58.135,5414.121,4.018,72.565
"FIN","Finland","Europe & Central Asia","High income",81.188,1.9,1.32,23.229,73.697,50440.56,9.742,92.989
"FRA","France","Europe & Central Asia","High income",82.129,3.4,1.78,21.377,78.759,40988.64,11.829,85.333
"GAB","Gabon","Sub-Saharan Africa ","Upper middle income",67.713,27.5,3.712,4.011,91.224,8409.207,2.891,67.672
"GMB","Gambia, The","Sub-Saharan Africa ","Low income",64.859,34.7,4.078,2.89,63.287,836.245,3.537,48.225
"GEO","Georgia","Europe & Central Asia","Upper middle income",74.141,7.7,1.82,15.087,60.01,6729.847,8.296,78.711
"DEU","Germany","Europe & Central Asia","High income",80.608,3.1,1.455,22.459,81.787,50506.518,12.447,91.63
"GHA","Ghana","Sub-Saharan Africa ","Lower middle income",65.246,29.4,3.434,3.562,57.251,2229.891,3.675,69.913
"GRC","Greece","Europe & Central Asia","High income",80.788,3.3,1.32,23.228,78.55,20884.677,8.449,83.171
"GRD","Grenada","Latin America & Caribbean ","Upper middle income",75.151,16.9,1.502,11.521,36.369,10469.387,4.997,68.42
"GTM","Guatemala","Latin America & Caribbean ","Upper middle income",71.206,18.3,2.343,4.63,55.258,5356.924,7.168,54.404
"GIN","Guinea","Sub-Saharan Africa ","Lower middle income",60.432,62.9,4.303,3.431,37.238,1416.596,3.833,31.314
"GNB","Guinea-Bissau","Sub-Saharan Africa ","Low income",63.605,44.7,3.911,3.09,45.163,881.603,8.338,27.674
"GUY","Guyana","Latin America & Caribbean ","High income",69.888,24.8,2.437,6.222,26.454,17913.493,2.525,76.562
"HTI","Haiti","Latin America & Caribbean ","Lower middle income",63.948,41.3,2.699,4.541,53.852,1748.409,3.208,47.775
"HND","Honduras","Latin America & Caribbean ","Lower middle income",72.715,13.6,2.522,4.167,57.836,3003.29,8.155,56.881
"HUN","Hungary","Europe & Central Asia","High income",75.868,3.2,1.57,20.608,70.159,18428.029,6.647,89.143
"ISL","Iceland","Europe & Central Asia","High income",82.12,2.2,1.589,15.111,94.179,76376.96,9.081,97.583
"IND","India","South Asia","Lower middle income",71.698,25.7,1.994,6.699,34.756,2279.981,3.396,55.9
"IDN","Indonesia","East Asia & Pacific","Upper middle income",70.925,16.3,2.149,6.825,57.493,4730.835,2.694,66.485
"IRN","Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",76.799,11,1.704,7.629,76.334,4721.204,5.628,81.716
"IRQ","Iraq","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",72.037,21.4,3.294,3.398,69.868,6520.732,4.332,78.716
"IRL","Ireland","Europe & Central Asia","High income",82.51,3.3,1.51,15.162,63.892,105190.686,6.021,95.037
"ISR","Israel","Middle East, North Africa, Afghanistan & Pakistan","High income",82.7,2.7,2.89,12.303,91.498,54947.209,7.12,91.851
"ITA","Italy","Europe & Central Asia","High income",82.7,2.4,1.24,23.929,69.484,35653.904,8.85,85.061
"JAM","Jamaica","Latin America & Caribbean ","Upper middle income",71.481,16.9,1.372,7.537,57.988,6626.475,8.653,85.843
"JPN","Japan","East Asia & Pacific","High income",83.996,1.8,1.26,29.403,91.978,35548.265,12.323,84.923
"JOR","Jordan","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",77.088,12.6,2.679,4.142,92.405,4754.414,7.736,90.5
"KAZ","Kazakhstan","Europe & Central Asia","Upper middle income",73.503,7.7,3.05,7.985,61.444,11255.34,3.746,92.297
"KEN","Kenya","Sub-Saharan Africa ","Lower middle income",63.549,35.5,3.262,2.864,31.431,2109.563,4.322,29.406
"KIR","Kiribati","East Asia & Pacific","Lower middle income",66.269,40.7,3.182,4.016,60.574,2078.765,10.526,84.998
"KOR","Korea, Rep.","East Asia & Pacific","High income",82.68,2.4,0.778,17.485,81.162,34822.405,8.86,97.169
"KWT","Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",80.588,7.4,1.546,2.747,100,39981.769,4.2,99.747
"KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income",72.049,15.1,2.8,5.199,34.7,1739.72,5.049,84.194
"LAO","Lao PDR","East Asia & Pacific","Lower middle income",68.715,29.3,2.455,4.417,38.068,2046.404,2.018,64.54
"LVA","Latvia","Europe & Central Asia","High income",74.278,2.6,1.47,21.012,68.257,20221.104,8.104,91.03
"LBN","Lebanon","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",78.003,14.2,2.263,9.513,90.206,3654.358,4.913,81.465
"LSO","Lesotho","Sub-Saharan Africa ","Lower middle income",56.812,59.9,2.716,3.793,41.67,1030.126,12.896,48.07
"LBR","Liberia","Sub-Saharan Africa ","Low income",61.934,63.6,4.016,3.253,54.459,744.617,13.588,30.38
"LBY","Libya","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",74.462,8.4,2.402,4.749,87.849,5986.637,4.744,80.647
"LTU","Lithuania","Europe & Central Asia","High income",75.644,2.9,1.27,19.861,68.287,24946.572,7.244,87.724
"LUX","Luxembourg","Europe & Central Asia","High income",82.946,2,1.31,14.842,94.761,123719.659,5.609,98.242
"MDG","Madagascar","Sub-Saharan Africa ","Low income",63.068,44.1,4.036,3.268,31.54,504.059,3.149,17.812
"MWI","Malawi","Sub-Saharan Africa ","Low income",66.037,38.6,3.72,2.613,16.715,604.27,6.625,16.848
"MYS","Malaysia","East Asia & Pacific","Upper middle income",75.444,6.9,1.55,7.186,75.974,11754.568,3.9,97.399
"MDV","Maldives","South Asia","Upper middle income",80.76,5.3,1.583,4.082,41.064,11786.019,7.5,83.912
"MLI","Mali","Sub-Saharan Africa ","Low income",60.035,51.2,5.692,2.426,30.402,976.914,3.722,35.199
"MLT","Malta","Middle East, North Africa, Afghanistan & Pakistan","High income",82.298,5,1.08,19.284,95.6,35658.832,9.091,91.541
"MHL","Marshall Islands","East Asia & Pacific","Upper middle income",66.725,24.1,2.936,4.112,77.986,6455.66,13.608,64.267
"MRT","Mauritania","Sub-Saharan Africa ","Lower middle income",68.281,32.1,4.77,3.209,58.812,1961.282,4.67,42.465
"MUS","Mauritius","Sub-Saharan Africa ","Upper middle income",73.515,13.9,1.33,12.396,39,10246.502,5.842,75.5
"MEX","Mexico","Latin America & Caribbean ","Upper middle income",73.973,12.8,1.94,7.745,79.2,11405.794,5.709,78.632
"FSM","Micronesia, Fed. Sts.","East Asia & Pacific","Upper middle income",66.961,21.6,2.785,5.519,22.412,3703.667,12.627,39.028
"MDA","Moldova","Europe & Central Asia","Upper middle income",71.546,14.7,1.694,15.117,42.405,5744.296,6.965,74.919
"MCO","Monaco","Europe & Central Asia","High income",85.746,2.3,2.114,37.061,100,226052.061,3.395,98.752
